GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeper,code.indiana.chandisingh.minesweeper,Empty,0,14,0,0,0,6,0,5,0,5
Minesweeper,code.indiana.chandisingh.minesweeper,Main,51,0,2,0,16,0,3,0,2,0
Minesweeper,code.indiana.chandisingh.minesweeper,Tile,0,16,0,0,0,6,0,4,0,4
Minesweeper,code.indiana.chandisingh.minesweeper,Game,0,64,0,4,0,18,0,10,0,8
Minesweeper,code.indiana.chandisingh.minesweeper,Bomb,0,17,0,0,0,7,0,5,0,5
Minesweeper,code.indiana.chandisingh.minesweeper,Board,14,276,3,11,3,65,4,20,1,16
